@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
p,7.38,w,11.53,11.33,w,l,d
p,0.91,w,2.75,1.36,e,f,l
p,6.16,n,6.28,9.6,e,f,d
p,12.02,o,16.16,16.61,w,p,d
p,3.99,n,7.04,5.1,n,f,d
e,4.85,n,4.57,6.56,w,f,d
p,4.8,e,3.33,11.78,y,f,d
p,1.97,y,7.97,2.92,y,f,g
p,5.21,p,3.08,11.34,y,f,d
e,1.73,n,3.91,3.03,n,f,h
e,5.44,y,5.91,12.22,y,g,d
p,15.34,o,17.84,18.79,w,p,d
p,11.12,n,11.23,16.45,w,e,d
e,4.8,n,6.59,11.04,n,?,d
p,26.96,n,5.84,37.43,n,f,d
e,4.78,w,6.0,7.29,w,f,l
p,7.35,n,8.39,10.05,e,f,d
p,11.0,o,9.75,24.03,y,r,d
p,8.61,r,11.18,14.57,w,p,d
p,3.24,y,6.28,3.6,n,r,d
p,4.66,y,5.48,5.06,y,f,l
e,3.76,o,5.62,4.88,n,f,d
p,2.87,k,3.11,13.09,g,f,d
p,4.55,y,6.42,5.04,n,f,l
p,2.44,e,6.79,2.37,n,f,d
p,8.26,e,14.92,7.95,n,f,d
p,2.81,w,2.9,2.08,w,f,g
e,4.22,r,6.25,7.33,r,f,d
p,0.56,y,3.48,0.69,y,f,d
e,3.8,n,6.28,6.56,o,f,d
p,1.88,k,3.09,2.32,w,f,g
p,1.82,o,2.99,5.33,o,f,h
p,4.64,p,4.79,3.75,w,e,d
p,9.44,w,10.33,11.41,w,f,h
e,1.43,n,4.91,1.52,g,f,l
e,4.96,g,4.87,3.89,g,f,d
e,54.27,y,7.14,44.18,k,f,d
e,8.89,n,4.99,24.14,n,f,d
e,5.81,w,6.27,12.38,y,g,d
e,3.52,n,7.64,7.38,w,?,d
e,8.04,w,7.39,28.47,w,f,m
p,7.99,p,7.93,14.95,p,f,d
p,8.73,u,10.63,20.34,u,f,d
p,4.8,y,6.45,7.87,o,f,g
e,5.97,g,4.38,8.0,w,f,d
p,6.9,n,6.25,8.68,e,f,d
p,3.49,n,4.91,3.34,n,f,d
p,4.81,n,0.0,0.0,f,f,d
e,13.21,n,7.16,23.92,n,e,d
e,5.23,n,4.58,10.27,n,f,d
p,5.97,e,8.42,8.49,o,f,g
e,6.31,n,6.32,6.55,n,r,d
e,2.92,n,3.51,5.45,g,f,d
e,22.01,n,27.95,21.54,n,m,d
p,4.69,y,6.03,4.66,y,f,l
p,1.65,n,3.84,1.45,n,f,d
e,4.4,n,6.46,6.5,w,f,d
e,8.78,k,5.2,17.25,w,f,d
p,3.54,y,5.55,6.37,w,f,d
p,14.38,n,9.82,30.66,y,f,d
e,1.18,n,4.68,1.31,g,f,d
e,9.66,w,4.84,23.91,w,f,d
p,14.41,n,9.39,31.53,y,f,d
p,3.15,n,6.41,9.62,w,z,d
e,3.4,e,4.16,5.49,o,f,m
e,6.86,e,4.2,13.37,w,f,d
p,7.1,n,5.08,7.49,n,f,d
p,6.2,g,9.49,12.05,w,z,g
e,3.54,n,4.53,3.45,g,f,d
p,12.79,n,8.41,26.12,y,f,d
p,3.69,y,0.0,0.0,f,f,d
p,9.32,n,8.47,29.12,w,f,d
p,8.19,e,5.69,17.01,w,f,d
e,9.39,n,7.0,16.31,y,f,d
p,9.05,g,5.6,17.25,n,f,d
p,3.81,n,6.79,4.55,w,f,d
p,4.2,l,5.88,6.89,l,e,d
e,17.08,n,24.34,20.04,n,m,m
p,3.09,w,3.81,2.62,w,f,g
e,11.48,n,5.48,22.79,w,f,l
p,7.24,e,7.37,18.02,u,f,d
p,6.32,n,5.72,10.52,n,f,d
p,4.41,o,5.65,6.82,o,f,g
p,23.74,n,6.01,46.05,n,f,d
e,7.03,y,4.77,13.37,y,f,d
p,2.27,l,4.64,2.71,w,f,g
p,8.31,y,10.68,18.94,y,r,d
e,1.45,n,4.71,1.49,g,f,d
p,5.07,n,5.23,8.76,n,f,l
e,0.96,e,5.42,0.94,n,f,d
p,0.94,n,3.03,2.48,n,f,g
e,8.47,e,5.92,11.94,e,f,d
p,3.58,e,4.34,4.87,e,f,d
p,9.41,y,1.43,16.03,n,f,d
e,5.46,w,8.27,9.36,w,?,d
e,3.76,n,7.91,3.77,w,f,d
p,5.12,n,5.05,6.6,n,f,d
e,9.0,n,8.42,15.85,w,l,d
e,4.98,n,6.63,3.94,g,f,d
e,9.88,b,4.91,19.37,w,f,d
p,6.02,w,6.89,12.43,w,l,g
e,4.62,g,3.96,6.52,w,f,d
p,7.68,n,8.9,8.65,n,z,d
e,10.78,e,8.96,28.25,n,e,d
p,3.97,l,5.68,7.1,l,e,g
e,9.76,w,7.79,26.64,w,f,m
e,3.98,n,8.44,9.43,n,?,d
p,0.7,o,3.59,0.77,w,f,d
p,9.37,r,6.58,17.06,w,f,d
e,3.17,g,5.65,3.14,n,f,d
p,2.13,k,3.92,2.63,w,f,g
e,9.12,n,8.34,18.7,n,p,d
p,14.67,o,17.2,16.77,w,p,d
p,1.97,n,7.21,3.2,y,f,g
e,30.48,n,15.28,76.16,n,f,d
p,3.57,g,0.0,0.0,f,f,d
e,8.75,w,8.26,31.44,w,f,m
p,3.75,n,5.24,7.88,w,z,d
e,6.97,g,6.12,4.88,g,l,d
p,9.65,n,10.24,14.25,n,f,d
p,2.25,o,3.13,4.66,n,f,d
p,3.02,w,2.55,6.35,w,f,g
e,0.81,g,3.37,1.61,w,f,d
e,3.9,o,4.67,5.99,e,f,g
p,6.44,y,7.22,11.97,w,f,g
p,7.88,r,10.5,15.45,w,g,d
p,10.04,r,5.58,16.6,n,f,d
p,9.73,p,7.44,13.91,p,f,d
p,2.23,n,8.56,3.54,y,f,g
e,14.18,n,9.57,16.82,w,?,g
p,12.74,n,11.43,32.89,w,f,d
p,1.66,n,2.51,1.36,n,f,d
e,2.76,p,4.36,6.67,e,f,g
e,2.33,b,7.05,5.04,w,f,d
e,1.46,y,7.13,2.24,y,f,h
p,3.93,n,6.35,4.68,g,f,d
p,6.05,y,9.63,10.67,y,?,d
e,4.04,y,7.27,8.11,y,f,d
p,16.44,n,5.28,27.21,r,f,l
p,11.0,g,11.03,15.65,w,g,d
p,6.1,e,4.7,8.43,e,f,d
e,8.8,n,9.79,13.39,o,f,d
e,4.27,n,6.51,6.62,w,f,d
e,1.39,n,4.82,1.52,g,f,l
p,1.31,n,4.25,1.19,n,f,d
p,0.96,w,2.91,1.51,n,f,l
p,4.31,u,4.68,7.98,w,f,d
e,5.03,n,5.77,4.48,g,l,d
