@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-spacing {c, d, ?, f}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-root {?, s, b, r, f, c}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}

@DATA
p,7.38,e,c,11.53,11.33,?,y,w
p,0.91,a,d,2.75,1.36,?,?,e
p,6.16,d,c,6.28,9.6,?,?,e
p,12.02,e,?,16.16,16.61,s,y,w
p,3.99,x,c,7.04,5.1,?,i,n
e,4.85,s,?,4.57,6.56,?,?,w
p,4.8,?,c,3.33,11.78,?,?,y
p,1.97,?,?,7.97,2.92,?,?,y
p,5.21,?,c,3.08,11.34,?,?,y
e,1.73,a,d,3.91,3.03,?,i,n
e,5.44,e,?,5.91,12.22,b,?,y
p,15.34,e,?,17.84,18.79,s,y,w
p,11.12,e,?,11.23,16.45,?,?,w
e,4.8,d,d,6.59,11.04,?,i,n
p,26.96,p,?,5.84,37.43,?,?,n
e,4.78,d,?,6.0,7.29,?,?,w
p,7.35,d,c,8.39,10.05,?,?,e
p,11.0,a,?,9.75,24.03,r,?,y
p,8.61,?,c,11.18,14.57,?,?,w
p,3.24,a,?,6.28,3.6,?,y,n
p,4.66,x,d,5.48,5.06,?,?,y
e,3.76,a,d,5.62,4.88,?,s,n
p,2.87,f,f,3.11,13.09,?,g,g
p,4.55,x,d,6.42,5.04,?,?,n
p,2.44,a,?,6.79,2.37,?,?,n
p,8.26,x,?,14.92,7.95,r,g,n
p,2.81,d,d,2.9,2.08,?,h,w
e,4.22,a,?,6.25,7.33,?,?,r
p,0.56,?,?,3.48,0.69,?,?,y
e,3.8,d,?,6.28,6.56,?,t,o
p,1.88,a,?,3.09,2.32,?,?,w
p,1.82,a,?,2.99,5.33,?,?,o
p,4.64,e,c,4.79,3.75,?,k,w
p,9.44,x,c,10.33,11.41,r,i,w
e,1.43,a,?,4.91,1.52,?,?,g
e,4.96,a,d,4.87,3.89,?,s,g
e,54.27,p,?,7.14,44.18,?,k,k
e,8.89,?,?,4.99,24.14,?,?,n
e,5.81,e,?,6.27,12.38,b,?,y
e,3.52,x,c,7.64,7.38,b,?,w
e,8.04,s,c,7.39,28.47,?,?,w
p,7.99,d,c,7.93,14.95,?,?,p
p,8.73,x,?,10.63,20.34,s,?,u
p,4.8,a,c,6.45,7.87,?,g,o
e,5.97,s,?,4.38,8.0,?,?,w
p,6.9,d,c,6.25,8.68,?,?,e
p,3.49,x,c,4.91,3.34,b,i,n
p,4.81,?,c,0.0,0.0,f,f,f
e,13.21,?,?,7.16,23.92,b,?,n
e,5.23,e,c,4.58,10.27,?,y,n
p,5.97,e,?,8.42,8.49,?,?,o
e,6.31,x,c,6.32,6.55,?,y,n
e,2.92,d,c,3.51,5.45,?,?,g
e,22.01,?,?,27.95,21.54,s,?,n
p,4.69,x,d,6.03,4.66,?,?,y
p,1.65,?,?,3.84,1.45,?,?,n
e,4.4,?,c,6.46,6.5,?,s,w
e,8.78,a,c,5.2,17.25,?,?,w
p,3.54,x,?,5.55,6.37,?,?,w
p,14.38,p,?,9.82,30.66,c,?,y
e,1.18,a,?,4.68,1.31,?,?,g
e,9.66,d,c,4.84,23.91,?,?,w
p,14.41,p,?,9.39,31.53,c,?,y
p,3.15,s,c,6.41,9.62,?,?,w
e,3.4,a,c,4.16,5.49,?,?,o
e,6.86,x,c,4.2,13.37,?,s,w
p,7.1,s,?,5.08,7.49,?,y,n
p,6.2,?,?,9.49,12.05,?,s,w
e,3.54,a,d,4.53,3.45,?,s,g
p,12.79,p,?,8.41,26.12,c,?,y
p,3.69,f,f,0.0,0.0,f,f,f
p,9.32,a,d,8.47,29.12,?,?,w
p,8.19,x,d,5.69,17.01,b,?,w
e,9.39,p,?,7.0,16.31,?,?,y
p,9.05,s,?,5.6,17.25,?,i,n
p,3.81,?,c,6.79,4.55,s,s,w
p,4.2,s,c,5.88,6.89,?,y,l
e,17.08,?,?,24.34,20.04,s,?,n
p,3.09,d,d,3.81,2.62,?,h,w
e,11.48,d,c,5.48,22.79,s,?,w
p,7.24,s,c,7.37,18.02,?,y,u
p,6.32,d,c,5.72,10.52,b,?,n
p,4.41,a,c,5.65,6.82,?,g,o
p,23.74,p,?,6.01,46.05,?,?,n
e,7.03,f,f,4.77,13.37,?,?,y
p,2.27,a,?,4.64,2.71,?,?,w
p,8.31,a,?,10.68,18.94,r,?,y
e,1.45,a,?,4.71,1.49,?,?,g
p,5.07,d,c,5.23,8.76,b,?,n
e,0.96,a,?,5.42,0.94,?,?,n
p,0.94,?,c,3.03,2.48,?,?,n
e,8.47,p,?,5.92,11.94,?,?,e
p,3.58,?,?,4.34,4.87,?,?,e
p,9.41,?,c,1.43,16.03,?,?,n
e,5.46,x,c,8.27,9.36,b,?,w
e,3.76,?,c,7.91,3.77,?,?,w
p,5.12,s,?,5.05,6.6,?,y,n
e,9.0,e,?,8.42,15.85,?,y,w
e,4.98,a,d,6.63,3.94,?,s,g
e,9.88,?,c,4.91,19.37,?,?,w
p,6.02,?,?,6.89,12.43,s,?,w
e,4.62,s,?,3.96,6.52,?,?,w
p,7.68,a,c,8.9,8.65,?,i,n
e,10.78,?,?,8.96,28.25,b,?,n
p,3.97,s,c,5.68,7.1,?,y,l
e,9.76,s,c,7.79,26.64,?,?,w
e,3.98,x,c,8.44,9.43,b,?,n
p,0.7,?,?,3.59,0.77,?,?,w
p,9.37,s,d,6.58,17.06,r,i,w
e,3.17,a,d,5.65,3.14,?,s,n
p,2.13,a,?,3.92,2.63,?,?,w
e,9.12,p,?,8.34,18.7,?,?,n
p,14.67,e,?,17.2,16.77,s,y,w
p,1.97,?,?,7.21,3.2,?,?,y
e,30.48,p,?,15.28,76.16,?,?,n
p,3.57,f,f,0.0,0.0,f,f,f
e,8.75,s,c,8.26,31.44,?,?,w
p,3.75,s,c,5.24,7.88,?,?,w
e,6.97,a,d,6.12,4.88,?,t,g
p,9.65,a,?,10.24,14.25,s,?,n
p,2.25,d,c,3.13,4.66,?,?,n
p,3.02,d,c,2.55,6.35,?,?,w
e,0.81,?,?,3.37,1.61,?,?,w
e,3.9,a,c,4.67,5.99,?,?,e
p,6.44,x,c,7.22,11.97,?,?,w
p,7.88,?,c,10.5,15.45,?,?,w
p,10.04,d,c,5.58,16.6,?,?,n
p,9.73,d,c,7.44,13.91,?,?,p
p,2.23,?,?,8.56,3.54,?,?,y
e,14.18,e,?,9.57,16.82,?,?,w
p,12.74,a,d,11.43,32.89,?,?,w
p,1.66,?,?,2.51,1.36,?,?,n
e,2.76,a,c,4.36,6.67,?,?,e
e,2.33,?,d,7.05,5.04,?,?,w
e,1.46,d,?,7.13,2.24,?,t,y
p,3.93,x,c,6.35,4.68,?,i,g
p,6.05,a,c,9.63,10.67,?,y,y
e,4.04,f,f,7.27,8.11,?,?,y
p,16.44,d,c,5.28,27.21,?,?,r
p,11.0,e,?,11.03,15.65,?,?,w
p,6.1,d,c,4.7,8.43,?,?,e
e,8.8,s,?,9.79,13.39,?,i,o
e,4.27,?,c,6.51,6.62,?,s,w
e,1.39,a,?,4.82,1.52,?,?,g
p,1.31,a,?,4.25,1.19,?,t,n
p,0.96,a,d,2.91,1.51,?,?,n
p,4.31,a,?,4.68,7.98,?,?,w
e,5.03,a,d,5.77,4.48,?,t,g
e,4.16,a,?,6.24,7.79,?,?,l
e,9.55,p,?,7.94,17.99,?,?,n
p,12.66,a,?,16.49,25.73,r,?,y
p,4.67,x,d,6.67,5.13,?,?,y
p,10.35,d,c,7.81,17.73,?,?,p
p,7.72,x,c,5.79,14.8,?,?,y
p,3.78,x,c,4.64,3.22,b,i,n
p,3.63,a,d,3.51,2.46,?,h,w
e,10.74,s,c,7.63,19.5,?,?,b
e,10.76,?,?,10.47,18.6,b,?,w
p,2.75,d,c,2.84,5.43,?,?,n
p,3.67,x,c,4.68,2.89,b,s,n
e,10.84,?,?,8.06,25.02,b,?,n
p,6.64,d,c,4.9,10.02,b,?,n
e,2.94,d,c,4.62,5.78,?,?,g
p,9.83,s,?,7.21,16.78,?,i,n
p,8.26,x,c,5.96,16.94,?,?,y
p,3.53,?,?,4.16,5.0,?,?,e
p,4.49,x,c,7.88,3.86,?,?,p
p,22.01,d,d,8.9,33.69,?,?,w
p,9.92,d,?,5.81,12.47,?,?,w
e,5.95,f,f,6.55,22.33,?,?,n
p,14.94,d,c,7.51,16.03,?,?,n
e,4.31,p,?,4.74,10.4,?,?,n
p,8.34,a,c,10.49,11.09,?,y,n
p,8.35,p,?,11.55,36.07,c,?,n
p,6.6,s,d,4.23,16.71,r,i,n
p,6.88,d,c,4.19,6.95,?,?,o
e,3.79,x,c,6.16,3.7,?,?,w
e,7.51,d,c,4.63,7.73,?,s,w
p,10.67,s,?,7.87,16.73,?,i,n
p,2.76,a,?,8.45,2.36,?,?,g
e,47.33,p,?,6.35,35.74,?,k,k
e,3.35,d,d,4.97,7.24,?,?,w
e,8.9,s,c,7.6,20.64,b,?,u
e,6.44,e,c,5.71,10.21,?,y,n
e,5.24,a,d,5.66,4.55,?,t,w
e,11.12,d,c,2.38,14.46,?,?,w
e,4.21,a,d,5.76,3.46,?,s,g
e,5.31,e,?,12.4,12.42,?,s,w
e,5.33,f,f,6.44,50.69,?,?,n
p,7.78,e,?,7.81,14.95,?,y,w
p,3.31,d,c,3.32,8.7,?,?,w
e,3.49,x,d,4.18,2.69,?,?,y
e,17.99,p,?,15.4,34.09,s,y,w
p,4.6,x,c,6.05,13.33,?,?,w
p,7.07,x,?,15.02,8.59,r,g,n
p,6.36,?,?,10.14,14.75,?,s,w
p,8.61,x,c,11.05,13.37,r,i,w
e,13.38,a,c,8.79,25.82,s,?,w
p,3.33,s,?,4.21,2.81,?,?,n
e,10.75,e,?,8.6,18.05,s,?,w
e,17.09,a,d,7.32,28.25,?,?,w
e,9.91,x,c,7.62,18.0,?,?,w
p,7.41,d,c,5.88,6.79,?,i,n
e,8.44,e,c,7.45,10.29,?,i,w
p,6.2,s,?,4.75,7.07,?,y,n
p,7.54,d,c,5.7,9.27,?,?,n
p,12.94,p,?,12.79,34.19,c,?,n
p,10.75,d,c,6.04,14.18,?,?,n
e,5.0,x,c,7.3,4.97,?,?,w
p,1.45,?,c,4.52,2.91,?,?,n
e,47.0,p,?,6.7,31.73,?,k,n
e,7.63,e,c,4.98,14.18,?,?,w
p,12.09,a,d,10.43,27.6,?,?,w
p,4.16,?,c,9.84,7.08,?,?,y
p,4.31,d,c,3.48,5.4,?,?,o
p,8.0,s,c,6.46,19.51,?,y,y
p,1.35,a,?,4.67,1.57,?,t,n
p,13.74,p,?,8.53,28.68,c,?,y
p,6.72,f,f,2.66,23.53,?,g,n
e,10.2,x,?,7.61,24.71,?,?,n
p,6.66,a,c,7.59,7.39,?,i,n
p,3.04,a,c,4.88,5.15,?,s,u
e,8.77,s,c,7.28,19.28,?,?,b
p,10.03,s,?,5.89,17.12,?,i,n
p,1.79,a,c,7.79,2.82,?,t,y
p,12.62,f,f,3.89,25.39,?,g,n
e,5.85,x,c,6.13,6.65,?,y,n
e,4.47,x,c,5.64,3.68,?,?,w
p,16.54,p,?,10.08,32.74,c,?,y
p,3.21,?,?,9.16,5.23,?,?,w
e,9.62,p,?,7.63,15.84,?,?,y
p,3.41,d,c,3.28,7.28,?,?,w
p,3.03,a,?,5.0,3.36,?,y,n
e,16.0,e,?,12.47,18.8,s,?,w
p,2.79,s,?,3.79,2.88,?,?,n
p,1.59,a,c,3.34,3.11,?,i,w
p,0.67,d,?,4.3,0.97,?,?,y
p,3.91,x,d,5.46,4.54,?,?,y
p,16.13,d,c,6.13,38.39,?,k,k
p,10.59,a,?,11.17,15.29,s,?,n
p,2.35,?,c,6.81,3.24,?,?,n
p,7.64,d,?,4.35,11.44,?,?,w
p,1.98,?,c,6.15,3.15,?,?,n
p,10.45,p,?,7.94,24.1,?,?,e
e,2.6,d,c,4.0,5.44,?,?,g
e,7.36,p,?,5.52,12.16,?,?,y
p,3.94,x,c,7.27,3.56,?,?,p
p,8.33,a,c,10.03,12.04,?,y,n
p,5.25,x,c,7.23,12.08,?,?,w
p,4.12,s,?,4.3,3.26,?,?,n
e,8.64,x,c,7.54,19.89,?,s,w
e,1.97,?,d,4.76,4.1,?,?,w
e,2.28,a,d,6.52,3.21,?,i,n
p,4.12,?,c,0.0,0.0,f,f,f
e,4.0,d,?,5.91,7.87,?,t,o
e,12.0,s,c,8.16,21.34,?,?,b
p,4.47,?,c,5.85,6.05,?,?,w
p,8.3,?,?,8.34,15.72,s,?,w
e,13.02,e,?,10.64,18.61,s,?,w
p,0.86,d,?,4.54,0.91,?,?,y
e,10.11,e,c,17.86,12.58,?,s,w
p,11.37,a,?,12.2,22.68,r,?,y
p,7.22,e,?,8.41,15.87,?,y,w
e,9.29,?,c,4.71,19.39,?,?,w
e,3.12,x,d,4.92,3.03,?,?,y
p,6.51,d,c,5.58,7.95,?,?,n
p,5.11,x,d,5.06,5.45,?,?,y
p,9.42,?,c,1.62,15.43,?,?,n
e,4.81,x,c,7.89,7.84,b,?,n
e,3.53,f,f,6.62,7.36,?,?,o
e,1.71,?,d,5.21,2.54,?,?,w
p,5.76,d,c,6.1,6.9,?,?,e
p,3.73,s,c,5.03,8.19,?,?,w
p,6.13,a,c,8.56,7.98,?,i,n
e,3.93,f,f,6.65,6.56,?,?,y
e,8.88,x,c,8.93,18.13,?,?,w
p,3.59,a,c,5.56,6.28,?,s,u
e,8.04,d,c,6.0,17.52,?,?,w
p,7.02,d,c,6.55,10.32,b,?,n
e,3.36,?,c,5.65,6.52,?,s,w
p,2.77,s,c,5.28,6.14,?,y,n
p,4.26,s,d,5.16,10.41,?,i,y
e,7.69,s,c,5.73,19.32,b,?,u
e,5.03,f,f,8.66,53.64,?,?,n
e,15.56,e,?,9.74,17.61,?,?,w
