@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-diameter REAL
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-attachment {e, a, d, x, s, ?, p, f}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-height REAL
@ATTRIBUTE stem-width REAL
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE habitat {d, l, g, h, m, w, u, p}

@DATA
p,7.38,b,t,w,e,w,11.53,11.33,w,l,d
p,0.91,x,g,w,a,w,2.75,1.36,e,f,l
p,6.16,s,d,n,d,y,6.28,9.6,e,f,d
p,12.02,f,g,o,e,w,16.16,16.61,w,p,d
p,3.99,f,t,n,x,p,7.04,5.1,n,f,d
e,4.85,f,y,n,s,g,4.57,6.56,w,f,d
p,4.8,x,?,e,?,g,3.33,11.78,y,f,d
p,1.97,f,t,y,?,y,7.97,2.92,y,f,g
p,5.21,x,?,p,?,w,3.08,11.34,y,f,d
e,1.73,s,y,n,a,p,3.91,3.03,n,f,h
e,5.44,x,?,y,e,w,5.91,12.22,y,g,d
p,15.34,x,g,o,e,w,17.84,18.79,w,p,d
p,11.12,f,?,n,e,w,11.23,16.45,w,e,d
e,4.8,x,s,n,d,w,6.59,11.04,n,?,d
p,26.96,x,s,n,p,y,5.84,37.43,n,f,d
e,4.78,x,?,w,d,r,6.0,7.29,w,f,l
p,7.35,x,d,n,d,w,8.39,10.05,e,f,d
p,11.0,x,y,o,a,y,9.75,24.03,y,r,d
p,8.61,f,h,r,?,w,11.18,14.57,w,p,d
p,3.24,x,y,y,a,w,6.28,3.6,n,r,d
p,4.66,f,l,y,x,e,5.48,5.06,y,f,l
e,3.76,f,t,o,a,w,5.62,4.88,n,f,d
p,2.87,o,?,k,f,f,3.11,13.09,g,f,d
p,4.55,f,l,y,x,n,6.42,5.04,n,f,l
p,2.44,x,g,e,a,p,6.79,2.37,n,f,d
p,8.26,x,w,e,x,w,14.92,7.95,n,f,d
p,2.81,s,d,w,d,p,2.9,2.08,w,f,g
e,4.22,x,?,r,a,r,6.25,7.33,r,f,d
p,0.56,x,g,y,?,y,3.48,0.69,y,f,d
e,3.8,f,t,n,d,o,6.28,6.56,o,f,d
p,1.88,x,i,k,a,p,3.09,2.32,w,f,g
p,1.82,f,s,o,a,o,2.99,5.33,o,f,h
p,4.64,b,y,p,e,w,4.79,3.75,w,e,d
p,9.44,f,?,w,x,w,10.33,11.41,w,f,h
e,1.43,c,g,n,a,g,4.91,1.52,g,f,l
e,4.96,b,g,g,a,g,4.87,3.89,g,f,d
e,54.27,o,y,y,p,y,7.14,44.18,k,f,d
e,8.89,o,?,n,?,w,4.99,24.14,n,f,d
e,5.81,x,?,w,e,w,6.27,12.38,y,g,d
e,3.52,x,?,n,x,w,7.64,7.38,w,?,d
e,8.04,x,d,w,s,w,7.39,28.47,w,f,m
p,7.99,s,t,p,d,p,7.93,14.95,p,f,d
p,8.73,x,?,u,x,u,10.63,20.34,u,f,d
p,4.8,x,t,y,a,y,6.45,7.87,o,f,g
e,5.97,f,y,g,s,g,4.38,8.0,w,f,d
p,6.9,f,d,n,d,y,6.25,8.68,e,f,d
p,3.49,f,d,n,x,y,4.91,3.34,n,f,d
p,4.81,o,t,n,?,w,0.0,0.0,f,f,d
e,13.21,x,y,n,?,w,7.16,23.92,n,e,d
e,5.23,x,y,n,e,p,4.58,10.27,n,f,d
p,5.97,b,s,e,e,y,8.42,8.49,o,f,g
e,6.31,x,h,n,x,w,6.32,6.55,n,r,d
e,2.92,f,d,n,d,p,3.51,5.45,g,f,d
e,22.01,f,y,n,?,w,27.95,21.54,n,m,d
p,4.69,f,l,y,x,n,6.03,4.66,y,f,l
p,1.65,o,k,n,?,n,3.84,1.45,n,f,d
e,4.4,f,h,n,?,k,6.46,6.5,w,f,d
e,8.78,f,s,k,a,w,5.2,17.25,w,f,d
p,3.54,x,?,y,x,w,5.55,6.37,w,f,d
p,14.38,x,k,n,p,e,9.82,30.66,y,f,d
e,1.18,c,g,n,a,g,4.68,1.31,g,f,d
e,9.66,s,?,w,d,w,4.84,23.91,w,f,d
p,14.41,x,h,n,p,e,9.39,31.53,y,f,d
p,3.15,x,t,n,s,n,6.41,9.62,w,z,d
e,3.4,x,d,e,a,e,4.16,5.49,o,f,m
e,6.86,f,?,e,x,w,4.2,13.37,w,f,d
p,7.1,x,s,n,s,n,5.08,7.49,n,f,d
p,6.2,b,y,g,?,k,9.49,12.05,w,z,g
e,3.54,f,g,n,a,g,4.53,3.45,g,f,d
p,12.79,x,e,n,p,y,8.41,26.12,y,f,d
p,3.69,o,s,y,f,f,0.0,0.0,f,f,d
p,9.32,x,t,n,a,w,8.47,29.12,w,f,d
p,8.19,f,t,e,x,w,5.69,17.01,w,f,d
e,9.39,x,d,n,p,y,7.0,16.31,y,f,d
p,9.05,x,h,g,s,y,5.6,17.25,n,f,d
p,3.81,b,y,n,?,u,6.79,4.55,w,f,d
p,4.2,x,y,l,s,u,5.88,6.89,l,e,d
e,17.08,f,y,n,?,w,24.34,20.04,n,m,m
p,3.09,x,d,w,d,p,3.81,2.62,w,f,g
e,11.48,x,e,n,d,w,5.48,22.79,w,f,l
p,7.24,f,y,e,s,y,7.37,18.02,u,f,d
p,6.32,f,?,n,d,w,5.72,10.52,n,f,d
p,4.41,x,t,o,a,y,5.65,6.82,o,f,g
p,23.74,x,s,n,p,y,6.01,46.05,n,f,d
e,7.03,x,w,y,f,f,4.77,13.37,y,f,d
p,2.27,x,i,l,a,p,4.64,2.71,w,f,g
p,8.31,x,y,y,a,y,10.68,18.94,y,r,d
e,1.45,c,g,n,a,w,4.71,1.49,g,f,d
p,5.07,x,?,n,d,y,5.23,8.76,n,f,l
e,0.96,f,g,e,a,p,5.42,0.94,n,f,d
p,0.94,b,t,n,?,k,3.03,2.48,n,f,g
e,8.47,x,d,e,p,r,5.92,11.94,e,f,d
p,3.58,x,i,e,?,e,4.34,4.87,e,f,d
p,9.41,o,t,y,?,o,1.43,16.03,n,f,d
e,5.46,x,?,w,x,w,8.27,9.36,w,?,d
e,3.76,b,y,n,?,n,7.91,3.77,w,f,d
p,5.12,x,s,n,s,n,5.05,6.6,n,f,d
e,9.0,x,i,n,e,p,8.42,15.85,w,l,d
e,4.98,b,g,n,a,g,6.63,3.94,g,f,d
e,9.88,f,e,b,?,b,4.91,19.37,w,f,d
p,6.02,x,y,w,?,n,6.89,12.43,w,l,g
e,4.62,f,y,g,s,w,3.96,6.52,w,f,d
p,7.68,x,i,n,a,n,8.9,8.65,n,z,d
e,10.78,x,y,e,?,w,8.96,28.25,n,e,d
p,3.97,b,t,l,s,g,5.68,7.1,l,e,g
e,9.76,f,s,w,s,w,7.79,26.64,w,f,m
e,3.98,x,?,n,x,n,8.44,9.43,n,?,d
p,0.7,x,g,o,?,y,3.59,0.77,w,f,d
p,9.37,x,s,r,s,w,6.58,17.06,w,f,d
e,3.17,f,g,g,a,g,5.65,3.14,n,f,d
p,2.13,x,i,k,a,w,3.92,2.63,w,f,g
e,9.12,x,h,n,p,y,8.34,18.7,n,p,d
p,14.67,f,h,o,e,w,17.2,16.77,w,p,d
p,1.97,c,h,n,?,n,7.21,3.2,y,f,g
