@RELATION dataset

@ATTRIBUTE class {p, e}
@ATTRIBUTE cap-shape {b, x, s, f, o, c, p}
@ATTRIBUTE cap-surface {t, g, d, y, ?, s, h, l, w, i, k, e}
@ATTRIBUTE cap-color {w, n, o, e, y, p, r, k, g, u, l, b}
@ATTRIBUTE gill-color {w, y, p, g, r, e, f, n, o, u, k, b}
@ATTRIBUTE stem-surface {y, ?, i, s, g, h, t, k, f}
@ATTRIBUTE stem-color {w, e, n, y, g, r, o, k, p, u, f, l, b}
@ATTRIBUTE veil-type {u, ?}
@ATTRIBUTE veil-color {w, ?, y, u, n, k, e}
@ATTRIBUTE has-ring {t, f}
@ATTRIBUTE ring-type {l, f, p, g, e, ?, r, m, z}
@ATTRIBUTE spore-print-color {?, w, n, p, k, g, r, u}

@DATA
p,b,t,w,w,y,w,u,w,t,l,?
p,x,g,w,w,?,e,?,?,f,f,?
p,s,d,n,y,?,e,?,?,f,f,?
p,f,g,o,w,y,w,u,w,t,p,?
p,f,t,n,p,i,n,?,?,f,f,?
e,f,y,n,g,?,w,?,?,f,f,?
p,x,?,e,g,?,y,?,?,f,f,?
p,f,t,y,y,?,y,?,?,f,f,?
p,x,?,p,w,?,y,?,?,f,f,?
e,s,y,n,p,i,n,?,?,f,f,?
e,x,?,y,w,?,y,u,y,t,g,?
p,x,g,o,w,y,w,u,w,t,p,?
p,f,?,n,w,?,w,u,w,t,e,?
e,x,s,n,w,i,n,?,?,t,?,w
p,x,s,n,y,?,n,?,?,f,f,?
e,x,?,w,r,?,w,?,?,f,f,?
p,x,d,n,w,?,e,?,?,f,f,?
p,x,y,o,y,?,y,?,?,t,r,n
p,f,h,r,w,?,w,u,w,t,p,?
p,x,y,y,w,y,n,?,?,t,r,?
p,f,l,y,e,?,y,?,?,f,f,?
e,f,t,o,w,s,n,?,?,f,f,?
p,o,?,k,f,g,g,?,?,f,f,?
p,f,l,y,n,?,n,?,?,f,f,?
p,x,g,e,p,?,n,?,?,f,f,?
p,x,w,e,w,g,n,?,?,f,f,?
p,s,d,w,p,h,w,?,?,f,f,?
e,x,?,r,r,?,r,?,?,f,f,?
p,x,g,y,y,?,y,?,?,f,f,?
e,f,t,n,o,t,o,?,?,f,f,?
p,x,i,k,p,?,w,?,?,f,f,p
p,f,s,o,o,?,o,?,?,f,f,?
p,b,y,p,w,k,w,?,?,t,e,?
p,f,?,w,w,i,w,?,?,f,f,?
e,c,g,n,g,?,g,?,?,f,f,?
e,b,g,g,g,s,g,?,?,f,f,?
e,o,y,y,y,k,k,?,?,f,f,?
e,o,?,n,w,?,n,?,?,f,f,?
e,x,?,w,w,?,y,u,y,t,g,?
e,x,?,n,w,?,w,?,w,t,?,?
e,x,d,w,w,?,w,?,?,f,f,?
p,s,t,p,p,?,p,?,?,t,f,?
p,x,?,u,u,?,u,?,u,f,f,?
p,x,t,y,y,g,o,?,?,f,f,?
e,f,y,g,g,?,w,?,?,f,f,?
p,f,d,n,y,?,e,?,?,f,f,?
p,f,d,n,y,i,n,?,?,f,f,?
p,o,t,n,w,f,f,?,?,f,f,n
e,x,y,n,w,?,n,?,w,t,e,?
e,x,y,n,p,y,n,?,?,f,f,?
p,b,s,e,y,?,o,?,?,f,f,?
e,x,h,n,w,y,n,?,?,t,r,?
e,f,d,n,p,?,g,?,?,f,f,?
e,f,y,n,w,?,n,?,?,t,m,?
p,f,l,y,n,?,y,?,?,f,f,?
p,o,k,n,n,?,n,?,?,f,f,?
e,f,h,n,k,s,w,?,w,f,f,k
e,f,s,k,w,?,w,?,?,f,f,?
p,x,?,y,w,?,w,?,?,f,f,?
p,x,k,n,e,?,y,?,?,f,f,?
e,c,g,n,g,?,g,?,?,f,f,?
e,s,?,w,w,?,w,?,?,f,f,?
p,x,h,n,e,?,y,?,?,f,f,?
p,x,t,n,n,?,w,?,n,t,z,?
e,x,d,e,e,?,o,?,?,f,f,?
e,f,?,e,w,s,w,?,?,f,f,?
p,x,s,n,n,y,n,?,?,f,f,?
p,b,y,g,k,s,w,?,?,t,z,?
e,f,g,n,g,s,g,?,?,f,f,?
p,x,e,n,y,?,y,?,?,f,f,?
p,o,s,y,f,f,f,?,?,t,f,?
p,x,t,n,w,?,w,?,?,f,f,?
p,f,t,e,w,?,w,?,?,f,f,?
e,x,d,n,y,?,y,?,?,f,f,?
p,x,h,g,y,i,n,?,?,f,f,?
p,b,y,n,u,s,w,?,?,f,f,?
p,x,y,l,u,y,l,?,?,t,e,k
e,f,y,n,w,?,n,?,?,t,m,?
p,x,d,w,p,h,w,?,?,f,f,?
e,x,e,n,w,?,w,?,?,f,f,?
p,f,y,e,y,y,u,?,?,f,f,?
p,f,?,n,w,?,n,?,?,f,f,?
